"","long","lat","EVI","Bio9","Bio16"
"1090",-77.2291666666667,3.5875,955,265,2527
"1091",-77.2208333333333,3.5875,5682,265,2516
"1092",-77.2125,3.5875,4880,264,2483
"1093",-77.1958333333333,3.5875,4399,265,2496
"1094",-77.1875,3.5875,4906,265,2492
"1095",-77.2708333333333,3.57916666666667,65,265,2528
"1096",-77.2291666666667,3.57916666666667,3531,266,2525
"1097",-77.2875,3.57083333333333,600,NA,NA
"1098",-77.2791666666667,3.57083333333333,1488,264,2511
"1099",-77.2708333333333,3.57083333333333,2247,265,2516
"1100",-77.2458333333333,3.57083333333333,5019,264,2509
"1101",-77.2375,3.57083333333333,4766,265,2512
"1102",-77.2291666666667,3.57083333333333,1365,266,2516
"1103",-77.2125,3.57083333333333,3755,265,2502
"1104",-77.3041666666667,3.5625,4151,NA,NA
"1105",-77.2958333333333,3.5625,4312,NA,NA
"1106",-77.2791666666667,3.5625,5012,264,2501
"1107",-77.2708333333333,3.5625,4937,264,2505
"1108",-77.2625,3.5625,5135,264,2505
"1109",-77.2291666666667,3.5625,4316,265,2508
"1110",-77.2125,3.5625,4313,264,2495
"1111",-77.3041666666667,3.55416666666667,4267,264,2499
"1112",-77.2958333333333,3.55416666666667,739,NA,NA
"1113",-77.2875,3.55416666666667,4566,265,2505
"1114",-77.2791666666667,3.55416666666667,4507,264,2500
"1115",-77.2708333333333,3.55416666666667,4227,264,2499
"1116",-77.3041666666667,3.54583333333333,5152,264,2497
"1117",-77.2875,3.54583333333333,4501,264,2486
"1118",-77.3125,3.5375,5475,264,2486
"1119",-77.2958333333333,3.5375,5025,264,2487
"1120",-77.2875,3.5375,1664,264,2490
"1121",-77.3291666666667,3.52916666666667,4167,NA,NA
"1122",-77.3208333333333,3.52916666666667,4835,265,2491
"1123",-77.3125,3.52916666666667,5715,264,2483
"1124",-77.3041666666667,3.52916666666667,5398,264,2483
"1125",-77.2958333333333,3.52916666666667,4634,264,2477
"1126",-77.2875,3.52916666666667,5362,264,2482
"1127",-77.3125,3.52083333333333,6114,265,2481
"1128",-77.3041666666667,3.52083333333333,3076,265,2483
"1129",-77.2875,3.52083333333333,547,264,2482
"1130",-77.3375,3.5125,1322,265,2479
"1131",-77.2958333333333,3.5125,2260,264,2473
"1132",-77.3375,3.50416666666667,5646,264,2458
"1133",-77.3291666666667,3.50416666666667,4878,264,2459
"1134",-77.3208333333333,3.50416666666667,1640,264,2465
"1135",-77.3125,3.50416666666667,463,265,2467
"1136",-77.2958333333333,3.50416666666667,3170,265,2469
"1137",-77.2791666666667,3.50416666666667,6335,265,2470
"1138",-77.3458333333333,3.49583333333333,5676,264,2454
"1139",-77.3375,3.49583333333333,4810,264,2450
"1140",-77.3291666666667,3.49583333333333,3367,264,2447
"1141",-77.3208333333333,3.49583333333333,4774,264,2450
"1142",-77.3125,3.49583333333333,4803,264,2452
"1143",-77.3041666666667,3.49583333333333,4381,264,2456
"1144",-77.2875,3.49583333333333,4438,265,2461
"1145",-77.2791666666667,3.49583333333333,3078,265,2461
"1146",-77.2458333333333,3.49583333333333,4970,262,2345
"1147",-77.3458333333333,3.4875,5268,264,2444
"1148",-77.3375,3.4875,4406,264,2444
"1149",-77.3291666666667,3.4875,4441,264,2443
"1150",-77.3208333333333,3.4875,4690,264,2439
"1151",-77.3125,3.4875,4690,264,2442
"1152",-77.3041666666667,3.4875,4967,264,2445
"1153",-77.2958333333333,3.4875,402,265,2455
"1154",-77.2875,3.4875,464,265,2456
"1155",-77.2791666666667,3.4875,4164,265,2454
"1156",-77.2625,3.4875,4850,265,2456
"1157",-77.3375,3.47916666666667,5124,264,2438
"1158",-77.3291666666667,3.47916666666667,4632,264,2437
"1159",-77.3208333333333,3.47916666666667,4882,264,2430
"1160",-77.3125,3.47916666666667,4760,264,2437
"1161",-77.3041666666667,3.47916666666667,4870,264,2436
"1162",-77.2958333333333,3.47916666666667,664,265,2447
"1163",-77.2875,3.47916666666667,3771,265,2444
"1164",-77.3375,3.47083333333333,4796,264,2431
"1165",-77.3291666666667,3.47083333333333,4606,264,2430
"1166",-77.3208333333333,3.47083333333333,4932,264,2430
"1167",-77.3125,3.47083333333333,4984,264,2426
"1168",-77.3041666666667,3.47083333333333,4576,264,2428
"1169",-77.2958333333333,3.47083333333333,2213,265,2439
"1170",-77.2791666666667,3.47083333333333,2199,265,2441
"1171",-77.3375,3.4625,3907,264,2425
"1172",-77.3291666666667,3.4625,4876,265,2424
"1173",-77.3208333333333,3.4625,4202,265,2422
"1174",-77.3125,3.4625,4729,265,2437
"1175",-77.3041666666667,3.4625,4846,264,2417
"1176",-77.3458333333333,3.45416666666667,3219,265,2423
"1177",-77.3375,3.45416666666667,2750,265,2424
"1178",-77.3291666666667,3.45416666666667,4941,265,2419
"1179",-77.3208333333333,3.45416666666667,3935,265,2421
"1180",-77.3041666666667,3.45416666666667,4906,264,2411
"1181",-77.3291666666667,3.44583333333333,4990,265,2406
"1182",-77.3208333333333,3.44583333333333,4544,265,2409
"1183",-77.2958333333333,3.44583333333333,4713,265,2405
"1184",-77.3625,3.4375,3384,NA,NA
"1185",-77.3291666666667,3.4375,4972,265,2400
"1186",-77.3041666666667,3.4375,3856,264,2394
"1187",-77.3291666666667,3.42916666666667,5017,265,2394
"1188",-77.3041666666667,3.42916666666667,4959,265,2397
"1189",-77.3708333333333,3.42083333333333,5187,264,2379
"1190",-77.3791666666667,3.4125,3837,264,2379
"1191",-77.3708333333333,3.4125,4822,265,2381
"1192",-77.3458333333333,3.4125,4816,265,2380
"1193",-77.3375,3.4125,4515,265,2374
"1194",-77.3875,3.40416666666667,1491,265,2379
"1195",-77.3708333333333,3.40416666666667,4971,264,2370
"1196",-77.3541666666667,3.40416666666667,4747,265,2371
"1197",-77.3458333333333,3.40416666666667,4938,265,2369
"1198",-77.3375,3.40416666666667,4592,265,2370
"1199",-77.3875,3.39583333333333,5267,265,2370
"1200",-77.3791666666667,3.39583333333333,5115,264,2362
"1201",-77.3625,3.39583333333333,4716,265,2364
"1202",-77.3958333333333,3.3875,5371,265,2365
"1203",-77.3875,3.3875,5203,264,2361
"1204",-77.3791666666667,3.3875,4869,264,2357
"1205",-77.3625,3.3875,4014,265,2358
"1206",-77.3875,3.37916666666667,4446,265,2358
"1207",-77.3791666666667,3.37916666666667,4572,265,2357
"1208",-77.3708333333333,3.37916666666667,3757,265,2360
"1209",-77.3958333333333,3.37083333333333,4909,264,2350
"1210",-77.4041666666667,3.3625,4659,264,2350
"1211",-77.3958333333333,3.3625,4921,264,2348
"1212",-77.3875,3.3625,4410,265,2352
"1213",-77.4291666666667,3.35416666666667,3233,264,2344
"1214",-77.4208333333333,3.35416666666667,4797,NA,NA
"1215",-77.4041666666667,3.35416666666667,3168,265,2346
"1216",-77.3958333333333,3.35416666666667,4689,265,2346
"1217",-77.4375,3.34583333333333,4937,264,2342
"1218",-77.4291666666667,3.34583333333333,5060,264,2344
"1219",-77.4041666666667,3.34583333333333,4583,265,2349
"1220",-77.4541666666667,3.3375,4647,265,2341
"1221",-77.4458333333333,3.3375,4716,264,2335
"1222",-77.4541666666667,3.32916666666667,4968,264,2335
"1223",-77.4708333333333,3.3125,4324,264,2328
"1224",-77.4875,3.29583333333333,4687,264,2318
"1225",-77.4875,3.27916666666667,4951,264,2317
"1226",-77.5291666666667,3.24583333333333,5488,264,2286
"1227",-77.5208333333333,3.24583333333333,4971,264,2290
"1228",-77.5208333333333,3.2375,4505,NA,NA
"1229",-77.5125,3.2375,4815,NA,NA
"1230",-77.5041666666667,3.2375,4689,NA,NA
"1231",-77.5375,3.22916666666667,2344,NA,NA
"1232",-77.4958333333333,3.22083333333333,3907,265,2317
"1233",-77.5458333333333,3.20416666666667,5094,264,2274
"1234",-77.5375,3.20416666666667,3346,264,2283
"1235",-77.5375,3.19583333333333,4560,264,2281
"1236",-77.5291666666667,3.19583333333333,5362,264,2278
"1237",-77.5458333333333,3.1875,5146,264,2269
"1238",-77.5291666666667,3.1875,5003,263,2278
"1239",-77.5208333333333,3.1875,4195,NA,NA
"1240",-77.4875,3.1875,5638,265,2325
"1241",-77.4791666666667,3.1875,5530,264,2328
"1242",-77.5291666666667,3.17916666666667,4782,264,2283
"1243",-77.5208333333333,3.17916666666667,4915,264,2289
"1244",-77.5541666666667,3.17083333333333,5162,264,2260
"1245",-77.5291666666667,3.17083333333333,2720,265,2287
"1246",-77.5291666666667,3.1625,4693,265,2288
"1247",-77.5791666666667,3.12916666666667,3884,264,2222
"1248",-77.5875,3.12083333333333,5197,264,2210
"1249",-77.5708333333333,3.12083333333333,5035,265,2235
"1250",-77.5875,3.1125,4792,264,2206
"1251",-77.6041666666667,3.10416666666667,4512,264,2182
"1252",-77.5958333333333,3.10416666666667,4417,264,2194
"1253",-77.5875,3.09583333333333,5118,265,2205
"1254",-77.6208333333333,3.07916666666667,3898,264,2148
"1255",-77.6125,3.07916666666667,4878,264,2159
